Case_ID,Timestamp,Activity,Resource,Cost
C_1,2026-01-01 00:10:00,Recibir_Solicitud,Sistema,0
C_1,2026-01-01 00:15:00,Verificacion_Automatica,API,2
C_1,2026-01-01 00:17:00,Comprobar_Antecedentes,API,1
C_1,2026-01-01 00:19:00,Calculo_Scoring,API,1
C_1,2026-01-01 00:24:00,Requiere_Revision_Manual,Sistema,0
C_1,2026-01-01 02:24:00,Analisis_Riesgo_Manual,Empleado,50
C_1,2026-01-01 02:54:00,Rechazo_Manual,Empleado,0
C_2,2026-01-01 00:20:00,Recibir_Solicitud,Sistema,0
C_2,2026-01-01 00:25:00,Verificacion_Automatica,API,2
C_2,2026-01-01 00:27:00,Comprobar_Antecedentes,API,1
C_2,2026-01-01 00:29:00,Calculo_Scoring,API,1
C_2,2026-01-01 00:34:00,Requiere_Revision_Manual,Sistema,0
C_2,2026-01-01 02:34:00,Analisis_Riesgo_Manual,Empleado,50
C_2,2026-01-01 03:04:00,Rechazo_Manual,Empleado,0
C_3,2026-01-01 00:30:00,Recibir_Solicitud,Sistema,0
C_3,2026-01-01 00:35:00,Verificacion_Automatica,API,2
C_3,2026-01-01 00:37:00,Calculo_Scoring,API,1
C_3,2026-01-01 00:39:00,Comprobar_Antecedentes,API,1
C_3,2026-01-01 00:44:00,Aprobacion_Automatica,Sistema,0
C_3,2026-01-01 00:49:00,Emitir_Transferencia,Banco,5
C_4,2026-01-01 00:40:00,Recibir_Solicitud,Sistema,0
C_4,2026-01-01 00:45:00,Verificacion_Automatica,API,2
C_4,2026-01-01 00:47:00,Calculo_Scoring,API,1
C_4,2026-01-01 00:49:00,Comprobar_Antecedentes,API,1
C_4,2026-01-01 00:54:00,Aprobacion_Automatica,Sistema,0
C_4,2026-01-01 00:59:00,Emitir_Transferencia,Banco,5
C_5,2026-01-01 00:50:00,Recibir_Solicitud,Sistema,0
C_5,2026-01-01 00:55:00,Verificacion_Automatica,API,2
C_5,2026-01-01 00:57:00,Comprobar_Antecedentes,API,1
C_5,2026-01-01 00:59:00,Calculo_Scoring,API,1
C_5,2026-01-01 01:04:00,Aprobacion_Automatica,Sistema,0
C_5,2026-01-01 01:09:00,Emitir_Transferencia,Banco,5
C_6,2026-01-01 01:00:00,Recibir_Solicitud,Sistema,0
C_6,2026-01-01 01:05:00,Verificacion_Automatica,API,2
C_6,2026-01-01 01:07:00,Comprobar_Antecedentes,API,1
C_6,2026-01-01 01:09:00,Calculo_Scoring,API,1
C_6,2026-01-01 01:14:00,Aprobacion_Automatica,Sistema,0
C_6,2026-01-01 01:19:00,Emitir_Transferencia,Banco,5
C_7,2026-01-01 01:10:00,Recibir_Solicitud,Sistema,0
C_7,2026-01-01 01:15:00,Verificacion_Automatica,API,2
C_7,2026-01-01 01:17:00,Calculo_Scoring,API,1
C_7,2026-01-01 01:19:00,Comprobar_Antecedentes,API,1
C_7,2026-01-01 01:24:00,Aprobacion_Automatica,Sistema,0
C_7,2026-01-01 01:29:00,Emitir_Transferencia,Banco,5
C_8,2026-01-01 01:20:00,Recibir_Solicitud,Sistema,0
C_8,2026-01-01 01:25:00,Verificacion_Automatica,API,2
C_8,2026-01-01 01:27:00,Comprobar_Antecedentes,API,1
C_8,2026-01-01 01:29:00,Calculo_Scoring,API,1
C_8,2026-01-01 01:34:00,Aprobacion_Automatica,Sistema,0
C_8,2026-01-01 01:39:00,Emitir_Transferencia,Banco,5
C_9,2026-01-01 01:30:00,Recibir_Solicitud,Sistema,0
C_9,2026-01-01 01:35:00,Verificacion_Automatica,API,2
C_9,2026-01-01 01:37:00,Comprobar_Antecedentes,API,1
C_9,2026-01-01 01:39:00,Calculo_Scoring,API,1
C_9,2026-01-01 01:44:00,Aprobacion_Automatica,Sistema,0
C_9,2026-01-01 01:49:00,Emitir_Transferencia,Banco,5
C_10,2026-01-01 01:40:00,Recibir_Solicitud,Sistema,0
C_10,2026-01-01 01:45:00,Verificacion_Automatica,API,2
C_10,2026-01-01 01:47:00,Comprobar_Antecedentes,API,1
C_10,2026-01-01 01:49:00,Calculo_Scoring,API,1
C_10,2026-01-01 01:54:00,Aprobacion_Automatica,Sistema,0
C_10,2026-01-01 01:59:00,Emitir_Transferencia,Banco,5
C_11,2026-01-01 01:50:00,Recibir_Solicitud,Sistema,0
C_11,2026-01-01 01:55:00,Verificacion_Automatica,API,2
C_11,2026-01-01 01:57:00,Calculo_Scoring,API,1
C_11,2026-01-01 01:59:00,Comprobar_Antecedentes,API,1
C_11,2026-01-01 02:04:00,Requiere_Revision_Manual,Sistema,0
C_11,2026-01-01 04:04:00,Analisis_Riesgo_Manual,Empleado,50
C_11,2026-01-01 04:34:00,Aprobacion_Manual,Empleado,0
C_12,2026-01-01 02:00:00,Recibir_Solicitud,Sistema,0
C_12,2026-01-01 02:05:00,Verificacion_Automatica,API,2
C_12,2026-01-01 02:07:00,Comprobar_Antecedentes,API,1
C_12,2026-01-01 02:09:00,Calculo_Scoring,API,1
C_12,2026-01-01 02:14:00,Aprobacion_Automatica,Sistema,0
C_12,2026-01-01 02:19:00,Emitir_Transferencia,Banco,5
C_13,2026-01-01 02:10:00,Recibir_Solicitud,Sistema,0
C_13,2026-01-01 02:15:00,Verificacion_Automatica,API,2
C_13,2026-01-01 02:17:00,Comprobar_Antecedentes,API,1
C_13,2026-01-01 02:19:00,Calculo_Scoring,API,1
C_13,2026-01-01 02:24:00,Aprobacion_Automatica,Sistema,0
C_13,2026-01-01 02:29:00,Emitir_Transferencia,Banco,5
C_14,2026-01-01 02:20:00,Recibir_Solicitud,Sistema,0
C_14,2026-01-01 02:25:00,Verificacion_Automatica,API,2
C_14,2026-01-01 02:27:00,Comprobar_Antecedentes,API,1
C_14,2026-01-01 02:29:00,Calculo_Scoring,API,1
C_14,2026-01-01 02:34:00,Requiere_Revision_Manual,Sistema,0
C_14,2026-01-01 04:34:00,Analisis_Riesgo_Manual,Empleado,50
C_14,2026-01-01 05:04:00,Rechazo_Manual,Empleado,0
C_15,2026-01-01 02:30:00,Recibir_Solicitud,Sistema,0
C_15,2026-01-01 02:35:00,Verificacion_Automatica,API,2
C_15,2026-01-01 02:37:00,Calculo_Scoring,API,1
C_15,2026-01-01 02:39:00,Comprobar_Antecedentes,API,1
C_15,2026-01-01 02:44:00,Requiere_Revision_Manual,Sistema,0
C_15,2026-01-01 04:44:00,Analisis_Riesgo_Manual,Empleado,50
C_15,2026-01-01 05:14:00,Aprobacion_Manual,Empleado,0
C_16,2026-01-01 02:40:00,Recibir_Solicitud,Sistema,0
C_16,2026-01-01 02:45:00,Verificacion_Automatica,API,2
C_16,2026-01-01 02:47:00,Calculo_Scoring,API,1
C_16,2026-01-01 02:49:00,Comprobar_Antecedentes,API,1
C_16,2026-01-01 02:54:00,Aprobacion_Automatica,Sistema,0
C_16,2026-01-01 02:59:00,Emitir_Transferencia,Banco,5
C_17,2026-01-01 02:50:00,Recibir_Solicitud,Sistema,0
C_17,2026-01-01 02:55:00,Verificacion_Automatica,API,2
C_17,2026-01-01 02:57:00,Calculo_Scoring,API,1
C_17,2026-01-01 02:59:00,Comprobar_Antecedentes,API,1
C_17,2026-01-01 03:04:00,Aprobacion_Automatica,Sistema,0
C_17,2026-01-01 03:09:00,Emitir_Transferencia,Banco,5
C_18,2026-01-01 03:00:00,Recibir_Solicitud,Sistema,0
C_18,2026-01-01 03:05:00,Verificacion_Automatica,API,2
C_18,2026-01-01 03:07:00,Calculo_Scoring,API,1
C_18,2026-01-01 03:09:00,Comprobar_Antecedentes,API,1
C_18,2026-01-01 03:14:00,Aprobacion_Automatica,Sistema,0
C_18,2026-01-01 03:19:00,Emitir_Transferencia,Banco,5
C_19,2026-01-01 03:10:00,Recibir_Solicitud,Sistema,0
C_19,2026-01-01 03:15:00,Verificacion_Automatica,API,2
C_19,2026-01-01 03:17:00,Calculo_Scoring,API,1
C_19,2026-01-01 03:19:00,Comprobar_Antecedentes,API,1
C_19,2026-01-01 03:24:00,Aprobacion_Automatica,Sistema,0
C_19,2026-01-01 03:29:00,Emitir_Transferencia,Banco,5
C_20,2026-01-01 03:20:00,Recibir_Solicitud,Sistema,0
